success,rt,trial_type,trial_index,plugin_version,time_elapsed,random_id,participant,technical_issues,response,stimulus,timeout,failed_images,failed_audio,failed_video,trial_phase,is_repeat,test_type,correct,old_image,new_image,correct_position,file_name
NA,null,image-keyboard-response,63,2.0.0,132646,p0njrbtzmo2,wolf,No,null,stimuli/organized/Novel pairs (tested)/n13bdustpan.jpg,NA,NA,NA,NA,memory,FALSE,novel,TRUE,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv
NA,null,html-keyboard-response,64,2.0.0,133649,p0njrbtzmo2,wolf,No,null,"<div style=""font-size:60px; color:black;"">+</div>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv
NA,null,image-keyboard-response,65,2.0.0,136653,p0njrbtzmo2,wolf,No,null,stimuli/organized/STATE/USED/Sbreadbox1.JPG,NA,NA,NA,NA,memory,FALSE,state,TRUE,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv
NA,null,html-keyboard-response,66,2.0.0,137655,p0njrbtzmo2,wolf,No,null,"<div style=""font-size:60px; color:black;"">+</div>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv
NA,null,image-keyboard-response,67,2.0.0,140659,p0njrbtzmo2,wolf,No,null,stimuli/organized/EXEMPLAR/USED/Ebracelet2.jpg,NA,NA,NA,NA,memory,FALSE,exemplar,TRUE,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv
NA,null,html-keyboard-response,68,2.0.0,141662,p0njrbtzmo2,wolf,No,null,"<div style=""font-size:60px; color:black;"">+</div>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv
NA,null,image-keyboard-response,69,2.0.0,144666,p0njrbtzmo2,wolf,No,null,stimuli/organized/STATE/USED/Sgrinder2.jpg,NA,NA,NA,NA,memory,FALSE,state,TRUE,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv
NA,null,html-keyboard-response,70,2.0.0,145669,p0njrbtzmo2,wolf,No,null,"<div style=""font-size:60px; color:black;"">+</div>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv
NA,null,image-keyboard-response,71,2.0.0,148672,p0njrbtzmo2,wolf,No,null,stimuli/organized/Novel pairs (tested)/n06blipstick.jpg,NA,NA,NA,NA,memory,FALSE,novel,TRUE,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv
NA,null,html-keyboard-response,72,2.0.0,149676,p0njrbtzmo2,wolf,No,null,"<div style=""font-size:60px; color:black;"">+</div>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv
NA,null,image-keyboard-response,73,2.0.0,152679,p0njrbtzmo2,wolf,No,null,stimuli/organized/EXEMPLAR/USED/Ecar1.jpg,NA,NA,NA,NA,memory,FALSE,exemplar,TRUE,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv
NA,null,html-keyboard-response,74,2.0.0,153682,p0njrbtzmo2,wolf,No,null,"<div style=""font-size:60px; color:black;"">+</div>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv
NA,null,image-keyboard-response,75,2.0.0,156687,p0njrbtzmo2,wolf,No,null,stimuli/organized/STATE/USED/Scrayons2.jpg,NA,NA,NA,NA,memory,FALSE,state,TRUE,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv
