rt,trial_type,trial_index,trial_number,time_elapsed,random_id,participant_id,technical_issues,response,stimulus,trial_phase,is_repeat,test_type,correct,old_image,new_image,correct_position,file_name,age,gender,memory_experiment_experience,task_guess,technical_issues_question,participant_is_group_member
NA,image-keyboard-response,101,49,208772,p0njrbtzmo2,wolf,No,null,stimuli/organized/EXEMPLAR/USED/Echisel1.jpg,memory,FALSE,exemplar,TRUE,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv,20,female,yes,Testing my recall ability,No,FALSE
NA,image-keyboard-response,103,50,212779,p0njrbtzmo2,wolf,No,null,stimuli/organized/STATE/USED/Sgiftbox2.jpg,memory,FALSE,state,TRUE,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv,20,female,yes,Testing my recall ability,No,FALSE
NA,image-keyboard-response,105,51,216785,p0njrbtzmo2,wolf,No,null,stimuli/organized/STATE/USED/Sdrum2.jpg,memory,FALSE,state,TRUE,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv,20,female,yes,Testing my recall ability,No,FALSE
NA,image-keyboard-response,107,52,220791,p0njrbtzmo2,wolf,No,null,stimuli/organized/Novel pairs (tested)/n04ayarn.jpg,memory,FALSE,novel,TRUE,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv,20,female,yes,Testing my recall ability,No,FALSE
NA,image-keyboard-response,109,53,224798,p0njrbtzmo2,wolf,No,null,stimuli/organized/EXEMPLAR/USED/Econe1.jpg,memory,FALSE,exemplar,TRUE,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv,20,female,yes,Testing my recall ability,No,FALSE
NA,image-keyboard-response,111,54,228805,p0njrbtzmo2,wolf,No,null,stimuli/organized/Novel pairs (tested)/n15bfootball.jpg,memory,FALSE,novel,TRUE,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv,20,female,yes,Testing my recall ability,No,FALSE
NA,image-keyboard-response,113,55,232810,p0njrbtzmo2,wolf,No,null,stimuli/organized/Novel pairs (tested)/n02bsafetypin.jpg,memory,FALSE,novel,TRUE,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv,20,female,yes,Testing my recall ability,No,FALSE
NA,image-keyboard-response,115,56,236817,p0njrbtzmo2,wolf,No,null,stimuli/organized/Novel pairs (tested)/n08aoven.jpg,memory,FALSE,novel,TRUE,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv,20,female,yes,Testing my recall ability,No,FALSE
NA,image-keyboard-response,117,57,240823,p0njrbtzmo2,wolf,No,null,stimuli/organized/STATE/USED/Sdie2.jpg,memory,FALSE,state,TRUE,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv,20,female,yes,Testing my recall ability,No,FALSE
NA,image-keyboard-response,119,58,244830,p0njrbtzmo2,wolf,No,null,stimuli/organized/STATE/USED/Sbottles2.JPG,memory,FALSE,state,TRUE,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv,20,female,yes,Testing my recall ability,No,FALSE
